[2024-04-02T13:54:15.966+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20% 37.7M 4s
[2024-04-02T13:54:15.970+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21% 36.1M 4s
[2024-04-02T13:54:15.971+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21% 36.6M 4s
[2024-04-02T13:54:15.972+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21% 20.7M 4s
[2024-04-02T13:54:15.973+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21% 43.2M 4s
[2024-04-02T13:54:15.974+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21% 9.19M 4s
[2024-04-02T13:54:15.975+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21% 64.6M 4s
[2024-04-02T13:54:15.975+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21% 33.3M 4s
[2024-04-02T13:54:15.976+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21%  345M 4s
[2024-04-02T13:54:15.976+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22%  380M 4s
[2024-04-02T13:54:15.976+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22% 15.4M 4s
[2024-04-02T13:54:15.977+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22% 23.0M 4s
[2024-04-02T13:54:15.977+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22% 17.0M 4s
[2024-04-02T13:54:15.977+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22%  181M 4s
[2024-04-02T13:54:15.978+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22% 98.2M 4s
[2024-04-02T13:54:15.979+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22%  115M 4s
