[2024-03-29T11:42:27.582+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17%  161M 10s
[2024-03-29T11:42:27.592+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18%  877K 10s
[2024-03-29T11:42:27.629+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18%  684K 11s
[2024-03-29T11:42:27.645+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18%  469M 10s
[2024-03-29T11:42:27.746+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18%  532M 10s
[2024-03-29T11:42:27.816+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18%  618M 10s
[2024-03-29T11:42:27.857+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18% 27.1M 10s
[2024-03-29T11:42:27.883+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18% 17.9M 10s
[2024-03-29T11:42:27.891+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18%  122M 10s
[2024-03-29T11:42:27.979+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19% 1.80M 10s
[2024-03-29T11:42:28.020+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19% 4.02M 10s
[2024-03-29T11:42:28.024+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19%  192K 11s
[2024-03-29T11:42:28.031+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19% 21.9M 11s
[2024-03-29T11:42:28.034+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19%  559M 11s
[2024-03-29T11:42:28.036+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19%  600M 11s
[2024-03-29T11:42:28.037+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19%  504M 11s
[2024-03-29T11:42:28.041+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20%  599M 11s
[2024-03-29T11:42:28.046+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20%  611M 11s
[2024-03-29T11:42:28.051+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20%  565M 10s
